mois,annee,AC2I,dev,autre,epargne
10,2025,5000,0,521.75,0
11,2025,5000.00,118.51,409.00,8.31,310.00,100.00
12,2025,5000.00,0.00,3000.00,5.00,-1133.10,400.00,200.00,327.61,5.60,558.88
1,2026,5000.00,0.00,0.00,951.90,-1308.39,2022.00
2,2026,5000.00,0.00,0.00,-4424.76
